company,artist,YOUTUBE_URL,TWITTER_URL,bladeYoutube,bladeTwitter,TWITTER_ID,TWITTER_NAME
SM,NCT Dream,https://www.youtube.com/channel/UCXURHJRGr4-EB3l87kcbElw,https://twitter.com/nctsmtown_dream,https://socialblade.com/youtube/c/nctdream,https://socialblade.com/twitter/user/nctsmtown_dream,870188817537355776,nctsmtown_dream
SM,NCT 127,https://www.youtube.com/channel/UCk2E0dbAyEJWnrN2bbQOcbg,https://twitter.com/nctsmtown_127,https://socialblade.com/youtube/c/nct127,https://socialblade.com/twitter/user/nctsmtown_127,869875390465982465,nctsmtown_127
SM,NCT,https://www.youtube.com/channel/UCwgtORdDtUKhpjE1VBv6XfA,https://twitter.com/nctsmtown,https://socialblade.com/youtube/c/nctsmtown,https://socialblade.com/twitter/user/nctsmtown,4811011050,nctsmtown
SM,WayV,https://www.youtube.com/channel/UC-ZHt5Zgadfx-B1CM63Lqew,https://twitter.com/wayv_official,https://socialblade.com/youtube/c/wayv,https://socialblade.com/twitter/user/wayv_official,1033994695595065347,wayv_official
SM,Aespa,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,https://twitter.com/aespa_official,https://socialblade.com/youtube/c/aespa,https://socialblade.com/twitter/user/aespa_official,1277453652924366848,aespa_official
SM,EXO,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g,https://twitter.com/weareoneexo,https://socialblade.com/youtube/c/exok,https://socialblade.com/twitter/user/weareoneexo,873115441303924736,weareoneexo
SM,Red Velvet,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ,https://twitter.com/rvsmtown,https://socialblade.com/youtube/c/redvelvet,https://socialblade.com/twitter/user/rvsmtown,873092428755894272,rvsmtown
SM,TVXQ!,https://www.youtube.com/channel/UC6dXhxQtzjlEGauwEGtLuSw,https://twitter.com/tvxq,https://socialblade.com/youtube/c/tvxq,https://socialblade.com/twitter/user/tvxq,893325893988302849,tvxq
SM,Super Junior,https://www.youtube.com/channel/UCFipx49muiJ8-d2YsnLlNVw,https://twitter.com/sjofficial,https://socialblade.com/youtube/c/superjunior,https://socialblade.com/twitter/user/sjofficial,965487301722701826,sjofficial
SM,Super M,https://www.youtube.com/channel/UCcjV926qiLr_Ghw6A0lTNjA,https://twitter.com/superm,https://socialblade.com/youtube/c/superm,https://socialblade.com/twitter/user/superm,1135806843773542401,superm
SM,Shinee,https://www.youtube.com/channel/UCyPwRgc3gQGqhk6RoGS50Ug,https://twitter.com/shinee,https://socialblade.com/youtube/c/shinee,https://socialblade.com/twitter/user/shinee,887973863824306176,shinee
SM,Girls Generation,https://www.youtube.com/channel/UCPENYtHg4Xhmm6oX8zaQA7Q,https://twitter.com/girlsgeneration,https://socialblade.com/youtube/c/girlsgeneration,https://socialblade.com/twitter/user/girls%20generation,391115625,girlsgeneration
SM,BoA,https://www.youtube.com/channel/UCYPtgd76D-o15reXD94BIoQ,https://twitter.com/boa_official,https://socialblade.com/youtube/c/boa,https://socialblade.com/twitter/user/boa_official,1288694479197581312,boa_official
SM,SMTOWN,https://www.youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,https://twitter.com/SMTOWNGLOBAL,https://socialblade.com/youtube/c/smtown,https://socialblade.com/twitter/user/SMTOWNGLOBAL,884378714,SMTOWNGLOBAL
JYP,TWICE,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,https://twitter.com/jypetwice,https://socialblade.com/youtube/c/twice,https://socialblade.com/twitter/user/jypetwice,3129056526,jypetwice
JYP,NiziU,https://www.youtube.com/channel/UCHp2q2i85qt_9nn2H7AvGOw,https://twitter.com/niziu__official,https://socialblade.com/youtube/c/niziuofficial,https://socialblade.com/twitter/user/niziu__official,1110738092493668352,niziu__official
JYP,StrayKids,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA,https://twitter.com/stray_kids,https://socialblade.com/youtube/c/straykids,https://socialblade.com/twitter/user/stray_kids,859297966581891072,stray_kids
JYP,GOT7,https://www.youtube.com/channel/UCNtZPzvkjjB3EuPMNY71cmA,https://twitter.com/got7official,https://socialblade.com/youtube/c/got7isourname,https://socialblade.com/twitter/user/got7official,573299587,got7official
JYP,ITZY,https://www.youtube.com/channel/UCDhM2k2Cua-JdobAh5moMFg,https://twitter.com/itzyofficial,https://socialblade.com/youtube/c/itzy,https://socialblade.com/twitter/user/itzyofficial,1062578718214770688,itzyofficial
JYP,DAY6,https://www.youtube.com/channel/UCp-pqXsizklX3ZHvLxXyhxw,https://twitter.com/day6official,https://socialblade.com/youtube/c/day6official,https://socialblade.com/twitter/user/day6official,3390133696,day6official
JYP,2PM,https://www.youtube.com/channel/UCBpzJvEhkemwMOkYLq9yUsA,https://twitter.com/follow_2pm,https://socialblade.com/youtube/c/2pm,https://socialblade.com/twitter/user/follow_2pm,137779150,follow_2pm
JYP,JYPNation,https://www.youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg,https://twitter.com/jypnation,https://socialblade.com/youtube/c/jypentertainment,https://socialblade.com/twitter/user/jypnation,212266188,jypnation
YG,BlackPink,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,https://twitter.com/ygofficialblink,https://socialblade.com/youtube/c/blackpinkofficial,https://socialblade.com/twitter/user/ygofficialblink,878204370403250176,ygofficialblink
YG,Treasure,https://www.youtube.com/channel/UCx9hXYOCvUYwrprEqe4ZQHA,https://twitter.com/treasuremembers,https://socialblade.com/youtube/c/officialtreasure,https://socialblade.com/twitter/user/treasuremembers,1240627844868268033,treasuremembers
YG,IKON,https://www.youtube.com/channel/UCWxCyZibDIWIrGIgP25mbfw,https://twitter.com/yg_ikonic,https://socialblade.com/youtube/c/officialikon,https://socialblade.com/twitter/user/yg_ikonic,3504585734,yg_ikonic
YG,BIGBANG,https://www.youtube.com/channel/UCzw-C7fNfs018R1FzIKnlaA,https://twitter.com/yg_globalvip,https://socialblade.com/youtube/c/bigbang,https://socialblade.com/twitter/user/yg_globalvip,582554285,yg_globalvip
YG,WINNER,https://www.youtube.com/channel/UCayQxFAoFCvGariuQCtHRGQ,https://twitter.com/yg_winner,https://socialblade.com/youtube/c/officialygwinner,https://socialblade.com/twitter/user/yg_winner,1595509214,yg_winner
YG,AKMU,https://www.youtube.com/channel/UCIcXK1CI8URMIqNO_1cehiQ,https://twitter.com/official_akmu,https://socialblade.com/youtube/c/officialakmu,https://socialblade.com/twitter/user/official_akmu,1166593986800291841,official_akmu
HYBE,BTS,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,https://twitter.com/bts_twt,https://socialblade.com/youtube/c/bangtantv,https://socialblade.com/twitter/user/bts_twt,335141638,bts_twt
HYBE,Seventeen,https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA,https://twitter.com/pledis_17,https://socialblade.com/youtube/c/pledis17,https://socialblade.com/twitter/user/pledis_17,956888370,pledis_17
HYBE,TXT,https://www.youtube.com/channel/UCtiObj3CsEAdNU6ZPWDsddQ,https://twitter.com/txt_bighit,https://socialblade.com/youtube/c/txtbighit,https://socialblade.com/twitter/user/txt_bighit,1083198663424237569,txt_bighit
HYBE,GirlFriend,https://www.youtube.com/channel/UCRDd3x33kfF0IW6g2MRUkRw,https://twitter.com/gfrdofficial,https://socialblade.com/youtube/c/gfrdofficial,https://socialblade.com/twitter/user/gfrdofficial,2258740268,gfrdofficial
HYBE,ENHYPEN,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw,https://twitter.com/enhypen,https://socialblade.com/youtube/c/enhypenofficial,https://socialblade.com/twitter/user/enhypen,1293890751848275968,enhypen
HYBE,Fromis9,https://www.youtube.com/channel/UC8qO5racajmy4YgPgNJkVXg,https://twitter.com/realfromis_9,https://socialblade.com/youtube/c/officialfromis9,https://socialblade.com/twitter/user/realfromis_9,844819971582574593,realfromis_9
HYBE,LE SSERAFIM,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,https://twitter.com/le_sserafim,https://socialblade.com/youtube/c/lesserafimofficial,https://socialblade.com/twitter/user/le_sserafim,1476733619620450304,le_sserafim
HYBE,NewJeans,https://www.youtube.com/channel/UCMki_UkHb4qSc0qyEcOHHJw,https://twitter.com/newjeans_ador,https://socialblade.com/youtube/c/newjeansofficial,https://socialblade.com/twitter/user/newjeans_ador,1476476838180696073,newjeans_ador
HYBE,지코,https://www.youtube.com/channel/UClOZoLNwJVdNzkEhzeevBSA,https://twitter.com/zico92,https://socialblade.com/youtube/c/zicoofficial,https://socialblade.com/twitter/user/zico92,219596665,zico92
Kakao Ent.,IVE (아이브),https://www.youtube.com/channel/UC-Fnix71vRP64WXeo0ikd0Q,https://twitter.com/ivestarship,https://socialblade.com/youtube/c/ivestarship,https://socialblade.com/twitter/user/ivestarship,1402182579265048598,ivestarship
Kakao Ent.,더보이즈(THE BOYZ),https://www.youtube.com/channel/UCkJ1rbOrsyPfBuHNfnLPm-Q,https://twitter.com/we_the_boyz,https://socialblade.com/youtube/c/theboyzofficial,https://socialblade.com/twitter/user/ist_theboyz,946322930031403008,we_the_boyz
Kakao Ent.,골든차일드,https://www.youtube.com/channel/UC2EeIV6pzZDIAgp8hV_MGew,https://twitter.com/goldenchild,https://socialblade.com/youtube/c/goldenchild,https://socialblade.com/twitter/user/goldenchild,845170774939906049,goldenchild
Kakao Ent.,Apink,https://www.youtube.com/channel/UCmW1Pq56lA-k-GWpX1z8WPg,https://twitter.com/apink_2011,https://socialblade.com/youtube/c/acubeent,https://socialblade.com/twitter/user/apink_2011,631007548,apink_2011
Kakao Ent.,몬스타엑스,https://www.youtube.com/channel/UCZvCP6sWj75MwpUP4LVtpNw,https://twitter.com/officialmonstax,https://socialblade.com/youtube/c/monstax,https://socialblade.com/twitter/user/officialmonstax,3030158859,officialmonstax
Kakao Ent.,우주소녀,https://www.youtube.com/channel/UCVaIiqzfKQsi7Qw4-X8TmmA,https://twitter.com/wjsn_cosmic,https://socialblade.com/youtube/c/cosmicgirls,https://socialblade.com/twitter/user/wjsn_cosmic,4439470045,wjsn_cosmic
CJ ENM,ENHYPEN,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw,https://twitter.com/ENHYPEN,https://socialblade.com/youtube/c/enhypenofficial,https://socialblade.com/twitter/user/ENHYPEN,1293890751848275968,ENHYPEN
CJ ENM,JO1,https://www.youtube.com/channel/UCsmXiDP8S40uBeJYxvyulmA,https://twitter.com/official_jo1,https://socialblade.com/youtube/c/jo1official,https://socialblade.com/twitter/user/official_jo1,1204439457073487872,official_jo1
CJ ENM,INI,https://www.youtube.com/channel/UCc-itdQHxLvUlPrDxIiSJrA,https://twitter.com/official__ini,https://socialblade.com/youtube/channel/UCc-itdQHxLvUlPrDxIiSJrA/,https://socialblade.com/twitter/user/official__ini,1402566462179475462,official__ini
CJ ENM,Kep1er,https://www.youtube.com/channel/UC8whlOg70m2Yr3qSMjUhh0g,https://twitter.com/official_kep1er,https://socialblade.com/youtube/c/kep1er_offcl,https://socialblade.com/twitter/user/official_kep1er,1448627067856179203,official_kep1er
CJ ENM,TO1,https://www.youtube.com/channel/UCPnd5rMdGyhvsXjY9f8DVeg,https://twitter.com/to1_offcl,https://socialblade.com/youtube/c/to1official,https://socialblade.com/twitter/user/to1_offcl,1120217350848958465,to1_offcl
CJ ENM,A.C.E,https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ,https://twitter.com/official_ace7,https://socialblade.com/youtube/c/officialacebeat,https://socialblade.com/twitter/user/official_ace7,861579438244241411,official_ace7
CJ ENM,VIVIZ,https://www.youtube.com/channel/UCWFMjDuWKlct0jy89k2kkRA,https://twitter.com/viviz_official,https://socialblade.com/youtube/c/vivizofficial,https://socialblade.com/youtube/c/viviz_official,1441319485638463495,viviz_official
